UID,NumOfHuman,Path4IMG,Path4PARSE,Path4POSE
1,02,1.jpg,1_02_*.png,1.mat
4,02,4.jpg,4_02_*.png,4.mat
5,02,5.jpg,5_02_*.png,5.mat
6,02,6.jpg,6_02_*.png,6.mat
9,02,9.jpg,9_02_*.png,9.mat
10,02,10.jpg,10_02_*.png,10.mat
11,02,11.jpg,11_02_*.png,11.mat
12,02,12.jpg,12_02_*.png,12.mat
13,02,13.jpg,13_02_*.png,13.mat
14,02,14.jpg,14_02_*.png,14.mat
15,02,15.jpg,15_02_*.png,15.mat
17,02,17.jpg,17_02_*.png,17.mat
18,02,18.jpg,18_02_*.png,18.mat
19,02,19.jpg,19_02_*.png,19.mat
22,02,22.jpg,22_02_*.png,22.mat
23,02,23.jpg,23_02_*.png,23.mat
25,02,25.jpg,25_02_*.png,25.mat
27,02,27.jpg,27_02_*.png,27.mat
29,02,29.jpg,29_02_*.png,29.mat
30,02,30.jpg,30_02_*.png,30.mat
31,02,31.jpg,31_02_*.png,31.mat
32,02,32.jpg,32_02_*.png,32.mat
34,02,34.jpg,34_02_*.png,34.mat
35,02,35.jpg,35_02_*.png,35.mat
37,02,37.jpg,37_02_*.png,37.mat
38,02,38.jpg,38_02_*.png,38.mat
39,02,39.jpg,39_02_*.png,39.mat
41,02,41.jpg,41_02_*.png,41.mat
43,02,43.jpg,43_02_*.png,43.mat
48,02,48.jpg,48_02_*.png,48.mat
50,02,50.jpg,50_02_*.png,50.mat
52,02,52.jpg,52_02_*.png,52.mat
55,02,55.jpg,55_02_*.png,55.mat
56,02,56.jpg,56_02_*.png,56.mat
58,02,58.jpg,58_02_*.png,58.mat
59,02,59.jpg,59_02_*.png,59.mat
60,02,60.jpg,60_02_*.png,60.mat
61,02,61.jpg,61_02_*.png,61.mat
65,02,65.jpg,65_02_*.png,65.mat
67,02,67.jpg,67_02_*.png,67.mat
68,02,68.jpg,68_02_*.png,68.mat
71,02,71.jpg,71_02_*.png,71.mat
72,02,72.jpg,72_02_*.png,72.mat
73,02,73.jpg,73_02_*.png,73.mat
